ID,accbu_text,accbu_inperson,accbu_phone,accbu_sm,accbu_friend,accbu_smstatus,bu_phone,bu_inperson,bu_text,bu_sm,bu_email,bu_fbstatus,bu_smstatus,bu_image,bu_drift,bu_other,bu_never,dump_phone,dump_inperson,dump_text,Sex,Sexuality,Transgender,Child_Age,Child_Gen,Parent_Metro,Parent_Rent,Household_Size,Parent_Internet,Sexuality2,Child_Gen2,Transgender2,Parent_Metro2,Parent_Rent2,Parent_Internet2,bu_phone2,bu_inperson2,bu_text2,bu_sm2,bu_email2,bu_fbstatus2,bu_smstatus2,bu_image2,bu_drift2,bu_other2,bu_never2,dump_phone2,dump_inperson2,dump_text2
5,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,14.0,2,1.0,2.0,4.0,1.0,Straight,Female,No,Metro,Rent,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
9,5.0,8.0,6.0,6.0,3.0,3.0, , , , , , , , , , , , , , , ,2,4,14.0,1,1.0,1.0,1.0,1.0,Straight,Male,No,Metro,Own,Yes,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,, , , , , , , , , , , , , , , , , ,13.0,2,1.0,2.0,5.0,1.0,,Female,,Metro,Rent,Yes,,,,,,,,,,,,,,
12,2.0,2.0,2.0,1.0,1.0,1.0, , , , , , , , , , , , , , , ,2,4,13.0,2,1.0,3.0,8.0,1.0,Straight,Female,No,Metro,Neither,Yes,,,,,,,,,,,,,,
14,10.0,1.0,6.0,10.0,10.0,10.0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,2,2,4,15.0,1,1.0,1.0,4.0,1.0,Straight,Male,No,Metro,Own,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes
15,,,,,,, , , , , , , , , , , , , , , , , ,16.0,1,1.0,1.0,5.0,1.0,,Male,,Metro,Own,Yes,,,,,,,,,,,,,,
16,2.0,4.0,1.0,3.0,2.0,1.0, , , , , , , , , , , , , , , ,2,2,13.0,1,1.0,2.0,4.0,1.0,Straight,Male,Yes,Metro,Rent,Yes,,,,,,,,,,,,,,
17,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,1.0,5.0,1.0,,,,Metro,Own,Yes,,,,,,,,,,,,,,
18,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,1.0,4.0,1.0,,,,Metro,Own,Yes,,,,,,,,,,,,,,
20,5.0,10.0,5.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,4,15.0,1,1.0,2.0,3.0,1.0,Straight,Male,No,Metro,Rent,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
21,1.0,10.0,1.0,1.0,1.0,1.0, , , , , , , , , , , , , , , ,2,4,16.0,2,1.0,1.0,2.0,1.0,Straight,Female,No,Metro,Own,Yes,,,,,,,,,,,,,,
23,9.0,7.0,8.0,3.0,2.0,7.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,4,17.0,1,0.0,1.0,3.0,1.0,Straight,Male,No,Non-metro,Own,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
24,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,1.0,4.0,1.0,,,,Metro,Own,Yes,,,,,,,,,,,,,,
25,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,1.0,4.0,1.0,,,,Metro,Own,Yes,,,,,,,,,,,,,,
26,5.0,3.0,4.0,4.0,4.0,1.0, , , , , , , , , , , , , , , ,2,4,17.0,2,1.0,1.0,4.0,1.0,Straight,Female,No,Metro,Own,Yes,,,,,,,,,,,,,,
28,9.0,1.0,1.0,10.0,10.0,10.0, , , , , , , , , , , , , , , ,2,4,17.0,1,1.0,1.0,3.0,1.0,Straight,Male,No,Metro,Own,Yes,,,,,,,,,,,,,,
29,8.0,1.0,2.0,9.0,7.0,10.0, , , , , , , , , , , , , , , ,2,4,13.0,2,1.0,1.0,6.0,1.0,Straight,Female,No,Metro,Own,Yes,,,,,,,,,,,,,,
31,,,,,,, , , , , , , , , , , , , , , , , ,, ,0.0,1.0,2.0,1.0,,,,Non-metro,Own,Yes,,,,,,,,,,,,,,
32,1.0,10.0,5.0,1.0,1.0,1.0, , , , , , , , , , , , , , , ,2,4,17.0,2,1.0,1.0,5.0,1.0,Straight,Female,No,Metro,Own,Yes,,,,,,,,,,,,,,
33,2.0,10.0,8.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,4,16.0,1,1.0,1.0,3.0,1.0,Not sure,Male,No,Metro,Own,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
35,,,,,,, , , , , , , , , , , , , , , , , ,16.0,2,1.0,1.0,6.0,1.0,,Female,,Metro,Own,Yes,,,,,,,,,,,,,,
36,1.0,10.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,17.0,1,1.0,2.0,3.0,1.0,Straight,Male,No,Metro,Rent,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes
38,9.0,3.0,5.0,6.0,3.0,9.0, , , , , , , , , , , , , , , ,2,4,14.0,2,1.0,1.0,3.0,1.0,Straight,Female,No,Metro,Own,Yes,,,,,,,,,,,,,,
39,1.0,10.0,4.0,2.0,3.0,2.0, , , , , , , , , , , , , , , ,2,4,15.0,2,1.0,1.0,4.0,1.0,Straight,Female,No,Metro,Own,Yes,,,,,,,,,,,,,,
40,1.0,10.0,5.0,1.0,1.0,1.0, , , , , , , , , , , , , , , ,2,1,17.0,1,1.0,2.0,2.0,1.0,Straight,Male,Yes,Metro,Rent,Yes,,,,,,,,,,,,,,
41,3.0,10.0,7.0,3.0,4.0,1.0, , , , , , , , , , , , , , , ,2,4,14.0,1,1.0,1.0,5.0,1.0,Straight,Male,No,Metro,Own,Yes,,,,,,,,,,,,,,
43,3.0,1.0,2.0,-1.0,-1.0,-1.0, , , , , , , , , , , , , , , ,2,4,13.0,2,1.0,1.0,4.0,1.0,Straight,Female,No,Metro,Own,Yes,,,,,,,,,,,,,,
44,1.0,10.0,4.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,4,17.0,2,1.0,1.0,4.0,1.0,Straight,Female,No,Metro,Own,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
45,,,,,,, , , , , , , , , , , , , , , , , ,, ,0.0,1.0,5.0,1.0,,,,Non-metro,Own,Yes,,,,,,,,,,,,,,
46,3.0,1.0,2.0,4.0,5.0,10.0, , , , , , , , , , , , , , , ,2,4,16.0,1,1.0,1.0,4.0,1.0,Straight,Male,No,Metro,Own,Yes,,,,,,,,,,,,,,
47,2.0,10.0,7.0,1.0,1.0,5.0, , , , , , , , , , , , , , , ,2,4,16.0,2,1.0,1.0,2.0,1.0,Straight,Female,No,Metro,Own,Yes,,,,,,,,,,,,,,
48,1.0,10.0,3.0,1.0,2.0,1.0, , , , , , , , , , , , , , , ,5,4,15.0,2,1.0,1.0,4.0,1.0,Not sure,Female,No,Metro,Own,Yes,,,,,,,,,,,,,,
