ID,accbu_text,accbu_inperson,accbu_phone,accbu_sm,accbu_friend,accbu_smstatus,bu_phone2,bu_inperson2,bu_text2,bu_sm2,bu_email2,bu_fbstatus2,bu_smstatus2,bu_image2,bu_drift2,bu_other2,bu_never2,dump_phone2,dump_inperson2,dump_text2,Sex,Sexuality2,Transgender2,Parent_Metro2,Parent_Rent2,Parent_Internet2,Child_Gen2,Child_Age,Household_Size
5,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,2,Straight,No,Metro,Rent,Yes,Female,14.0,4.0
9,5.0,8.0,6.0,6.0,3.0,3.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Male,14.0,1.0
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Rent,Yes,Female,13.0,5.0
12,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Neither,Yes,Female,13.0,8.0
14,10.0,1.0,6.0,10.0,10.0,10.0,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,2,Straight,No,Metro,Own,Yes,Male,15.0,4.0
15,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,Male,16.0,5.0
16,2.0,4.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,, ,Straight,Yes,Metro,Rent,Yes,Male,13.0,4.0
17,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,5.0
18,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,4.0
20,5.0,10.0,5.0,1.0,1.0,1.0,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,2,Straight,No,Metro,Rent,Yes,Male,15.0,3.0
21,1.0,10.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Female,16.0,2.0
23,9.0,7.0,8.0,3.0,2.0,7.0,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,2,Straight,No,Non-metro,Own,Yes,Male,17.0,3.0
24,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,4.0
25,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,4.0
26,5.0,3.0,4.0,4.0,4.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Female,17.0,4.0
28,9.0,1.0,1.0,10.0,10.0,10.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Male,17.0,3.0
29,8.0,1.0,2.0,9.0,7.0,10.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Female,13.0,6.0
31,,,,,,,,,,,,,,,,,,,,, ,,,Non-metro,Own,Yes,,,2.0
32,1.0,10.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Female,17.0,5.0
