ID,Sex,Sexuality2,Transgender2,Parent_Metro2,Parent_Rent2,Parent_Internet2,Child_Gen2,Child_Age,Household_Size
5,2,Straight,No,Metro,Rent,Yes,Female,14.0,4.0
9, ,Straight,No,Metro,Own,Yes,Male,14.0,1.0
10,,,,,,,,,
Pinterest,,,,,,,,,
11, ,,,Metro,Rent,Yes,Female,13.0,5.0
12, ,Straight,No,Metro,Neither,Yes,Female,13.0,8.0
14,2,Straight,No,Metro,Own,Yes,Male,15.0,4.0
15, ,,,Metro,Own,Yes,Male,16.0,5.0
16, ,Straight,Yes,Metro,Rent,Yes,Male,13.0,4.0
17, ,,,Metro,Own,Yes,,,5.0
18, ,,,Metro,Own,Yes,,,4.0
20,2,Straight,No,Metro,Rent,Yes,Male,15.0,3.0
21, ,Straight,No,Metro,Own,Yes,Female,16.0,2.0
23,2,Straight,No,Non-metro,Own,Yes,Male,17.0,3.0
24, ,,,Metro,Own,Yes,,,4.0
25, ,,,Metro,Own,Yes,,,4.0
26, ,Straight,No,Metro,Own,Yes,Female,17.0,4.0
28, ,Straight,No,Metro,Own,Yes,Male,17.0,3.0
29, ,Straight,No,Metro,Own,Yes,Female,13.0,6.0
31, ,,,Non-metro,Own,Yes,,,2.0
32, ,Straight,No,Metro,Own,Yes,Female,17.0,5.0
33,2,Not sure,No,Metro,Own,Yes,Male,16.0,3.0
35, ,,,Metro,Own,Yes,Female,16.0,6.0
36,1,Straight,No,Metro,Rent,Yes,Male,17.0,3.0
38, ,Straight,No,Metro,Own,Yes,Female,14.0,3.0
39, ,Straight,No,Metro,Own,Yes,Female,15.0,4.0
40, ,Straight,Yes,Metro,Rent,Yes,Male,17.0,2.0
41, ,Straight,No,Metro,Own,Yes,Male,14.0,5.0
43, ,Straight,No,Metro,Own,Yes,Female,13.0,4.0
44,2,Straight,No,Metro,Own,Yes,Female,17.0,4.0
45, ,,,Non-metro,Own,Yes,,,5.0
46, ,Straight,No,Metro,Own,Yes,Male,16.0,4.0
47, ,Straight,No,Metro,Own,Yes,Female,16.0,2.0
48, ,Not sure,No,Metro,Own,Yes,Female,15.0,4.0
49, ,,,Metro,Own,Yes,,,4.0
51, ,Straight,No,Metro,Rent,Yes,Female,14.0,4.0
52, ,,,Metro,Own,Yes,,,3.0
54,2,Straight,No,Metro,Own,Yes,Female,13.0,6.0
55,2,Straight,No,Metro,Own,Yes,Male,14.0,5.0
56, ,,,Metro,Rent,Yes,,,4.0
57,1,Bisexual,No,Metro,Rent,Yes,Female,17.0,5.0
58,2,Straight,No,Metro,Rent,Yes,Male,15.0,3.0
59, ,Straight,Yes,Metro,Own,Yes,Male,15.0,4.0
60, ,Straight,No,Metro,Own,Yes,Female,16.0,4.0
61, ,,,Metro,Own,Yes,,,5.0
62, ,,,Metro,Own,Yes,,,5.0
63, ,Straight,No,Metro,Rent,Yes,Male,13.0,4.0
64, ,,,Metro,Own,Yes,,,3.0
65, ,Straight,No,Metro,Own,Yes,Female,13.0,4.0
66, ,Straight,No,Metro,Own,Yes,Male,14.0,6.0
67, ,Straight,No,Metro,Own,Yes,Female,13.0,3.0
68, ,,,Metro,Own,Yes,,,4.0
70, ,,,Metro,Own,Yes,,,3.0
71, ,,,Non-metro,Own,Yes,,,3.0
72,2,Straight,No,Metro,Own,Yes,Male,14.0,3.0
73,2,Straight,No,Non-metro,Neither,Yes,Female,13.0,3.0
74, ,,,Metro,Own,Yes,,,4.0
78, ,Straight,No,Metro,Own,Yes,Female,14.0,5.0
79, ,Straight,No,Metro,Rent,Yes,Male,14.0,6.0
80, ,,,Metro,Own,Yes,,,4.0
81, ,Straight,No,Metro,Rent,Yes,Male,15.0,2.0
83, ,Straight,No,Metro,Own,Yes,Male,13.0,4.0
84, ,Straight,No,Metro,Own,Yes,Male,14.0,4.0
85, ,Straight,No,Metro,Own,Yes,Male,16.0,4.0
86, ,,,Metro,Own,Yes,,,5.0
88, ,,,Metro,Rent,Yes,,,6.0
89, ,Straight,No,Metro,Own,Yes,Male,14.0,3.0
90, ,Straight,No,Metro,Own,Yes,Female,15.0,2.0
91,2,Straight,No,Metro,Own,Yes,Female,15.0,6.0
