Unnamed: 0,parent_knowledge_status,parentcontrol,sexualexperience,serious_relationship,notserious_relationship,meeting_online_experience,online_and_never_met,socialmedia_interested_interactedsm,socialmedia_interested_friendedsm,interested_friendedsm,interested_text,interested_video,interested_music,interested_sexypics,interested_inperson,interested_other,search_information_current,friended_setup,search_information_past,askout_text,askout_inperson,askout_phone,askout_dm,askout_friendasked,askout_wait,askout_other,shared_passwords,time_outsideschoool,time_phone,time_text,time_online,time_videochat,time_email,time_socialmediapost,time_messagingapps,shareonline_location,shareonline_activity,shareonline_thoughts,shareonline_friends,shareonline_school,shareonline_health,shareonline_family,shareonline_politics,shareonline_religion,shareonline_funny,pparent_knowledge_status
0,2,,yes,no,no,none,,1,no,yes,no,no,no,no,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,,every_few_days,less_often,everyday,every_few_days,never,never,every_few_days,everyday,no,yes,yes,,yes,no,,no,no,yes,no
1,2,,no,,,,, ,,yes,no,no,yes,no,yes,no,no,,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_sure
3,0,,,,,,,0,,yes,yes,no,no,no,no,yes,no,no,yes,,,,yes,,,yes,,,every_few_days,every_few_days,,never,every_few_days,never,every_few_days,,,no,,no,yes,,yes,,yes,
4,2,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
5,2,,no,,,,,2,no,no,no,no,no,no,no,no,no,no,,no,no,no,yes,no,no,no,,,,,,,,,,,,,,,,,,,,no
6,1,limit_time,yes,yes,,none,,2,no,no,yes,no,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,every_few_days,less_often,every_few_days,never,every_few_days,never,never,every_few_days,yes,yes,yes,,yes,yes,yes,no,yes,yes,yes
7,3,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_sure
8,2,,no,,,,,2,no,no,no,no,no,no,no,no,yes,no,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
9, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,do_not_limit,yes,yes,,none,,1,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,yes,yes,no,yes,no,no,no,every_few_days,everyday,everyday,less_often,less_often,less_often,every_few_days,less_often,yes,yes,yes,,yes,yes,yes,no,no,yes,yes
12,2,,no,,,,,1,yes,yes,yes,no,yes,no,yes,no,yes,yes,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
13,2,,yes,yes,,none,,1,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,every_few_days,every_few_days,everyday,everyday,everyday,everyday,less_often,everyday,yes,yes,yes,,no,yes,yes,no,no,yes,no
14, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
