"Body","Face","Fidelity","Intelligence","Kindness","Senseofhumor","Sensitivity","Sexualskill","Sharedvalues","Wealth","sum","physicalattractiveness","socialattractiveness","sexpartners","politicalorientation_1extremelyliberal_7extremelyconservative","Sex_Female_0_Male1","Age","Relationship_Yes1_No0","CRT1","CRT2","CRT3","CRT4","CRT5","CRT6","crttotal"
55,55,80,50,45,60,30,35,60,30,500,55,46.25,1,2,1,21,0,1,0,1,0,1,1,4
60,50,90,50,30,100,30,50,20,20,500,55,52.5,1,3,1,20,0,1,1,1,1,1,1,6
50,25,100,100,25,25,25,25,100,25,500,37.5,43.75,1,4,1,19,0,1,1,1,1,1,1,6
60,70,53,67,60,70,18,40,60,2,500,65,53.75,4,2,1,20,0,1,1,1,1,1,1,6
70,70,100,90,80,50,0,15,25,0,500,70,55,30,1,1,21,0,1,1,1,1,1,1,6
60,70,60,60,35,60,20,50,35,50,500,65,43.75,1,4,1,22,0,1,0,0,0,1,NA,NA
45,45,30,60,85,75,50,50,30,30,500,45,67.5,15,3,1,20,0,1,1,1,1,1,1,6
50,50,50,60,60,60,50,50,70,0,500,50,57.5,20,1,1,20,0,1,1,1,1,1,1,6
60,60,30,80,30,70,20,60,50,40,500,60,50,25,4,0,21,1,1,1,1,0,1,1,5
60,60,60,50,50,60,40,30,50,40,500,60,50,10,3,0,21,1,0,0,0,0,0,1,1
70,60,50,40,60,60,40,70,30,20,500,65,50,35,4,1,22,1,1,1,1,1,0,1,5
20,20,70,80,90,70,50,10,90,0,500,20,72.5,12,2,0,20,0,0,0,0,1,1,1,3
0,0,0,100,50,100,75,50,75,50,500,0,81.25,1,4,0,20,0,1,1,0,0,0,0,2
40,40,60,75,60,25,50,50,50,50,500,40,52.5,1,2,0,22,1,1,1,1,0,1,1,5
50,50,50,70,50,50,0,50,55,75,500,50,42.5,25,2,0,22,0,1,1,1,1,1,1,6
100,100,90,5,5,0,0,100,0,100,500,100,2.5,9,2,0,19,1,1,1,1,1,1,1,6
65,50,50,85,55,35,30,50,65,15,500,57.5,51.25,8,3,1,20,1,1,1,1,1,1,1,6
60,60,55,65,75,5,50,30,100,0,500,60,48.75,50,2,1,20,0,1,1,1,1,1,1,6
35,50,90,80,80,60,30,20,45,10,500,42.5,62.5,5,3,1,20,0,1,1,1,1,1,1,6
65,75,60,50,65,40,35,60,50,0,500,70,47.5,5,3,1,20,1,1,1,1,1,1,1,6
30,40,60,60,60,60,50,30,70,40,500,35,57.5,1,3,0,22,0,1,1,1,1,1,1,6
20,60,70,60,70,70,50,20,70,10,500,40,62.5,6,2,0,21,0,1,1,1,1,0,1,5
50,70,65,70,30,65,10,40,60,40,500,60,43.75,1,2,0,21,0,1,1,1,1,1,1,6
50,50,70,60,65,70,40,40,55,0,500,50,58.75,2,2,0,21,0,1,1,1,1,1,1,6
30,30,100,30,60,90,70,0,90,0,500,30,62.5,2,3,1,20,1,1,1,1,1,1,1,6
70,70,100,70,50,0,30,70,40,0,500,70,37.5,20,3,1,20,1,1,1,1,1,1,1,6
10,50,50,90,80,60,40,10,100,10,500,30,67.5,10,1,1,20,1,1,1,1,1,1,1,6
60,60,100,80,50,20,20,20,80,10,500,60,42.5,10,2,1,19,0,1,1,1,1,1,1,6
40,40,90,80,70,50,50,30,50,0,500,40,62.5,1,3,0,21,1,1,1,1,1,1,1,6
60,60,70,65,5,60,5,50,65,60,500,60,33.75,3,4,0,21,0,1,1,1,1,1,1,6
40,20,60,80,60,60,40,40,60,40,500,30,60,2,1,0,21,0,1,1,1,1,1,1,6
30,50,65,65,65,65,50,35,35,40,500,40,61.25,2,4,0,21,1,1,0,0,0,1,1,3
50,55,55,55,50,45,50,40,50,50,500,52.5,50,3,3,0,22,0,1,1,1,1,1,0,5
40,50,65,60,60,60,65,5,70,25,500,45,61.25,1,3,0,21,1,1,1,1,1,1,1,6
50,65,70,70,60,55,50,10,60,10,500,57.5,58.75,8,3,0,24,1,1,1,0,1,1,1,5
30,30,60,60,70,60,70,10,100,10,500,30,65,1,2,0,22,0,1,1,0,1,1,1,5
20,20,100,80,80,15,50,25,80,30,500,20,56.25,3,2,0,20,0,1,1,1,1,1,1,6
40,40,50,80,60,60,30,30,70,40,500,40,57.5,5,2,0,21,1,1,1,1,1,1,1,6
40,50,100,60,55,55,20,30,40,50,500,45,47.5,3,4,0,51,1,0,0,0,0,1,0,1
40,50,54,74,54,74,50,0,54,50,500,45,63,1,3,0,17,0,1,1,1,1,1,1,6
30,40,80,80,80,20,80,5,80,5,500,35,65,6,1,0,22,0,0,0,0,0,1,0,1
35,45,80,60,55,50,35,30,80,30,500,40,50,3,4,0,22,0,1,1,1,1,1,1,6
65,35,50,50,50,50,50,50,50,50,500,50,50,4,2,0,22,0,1,0,1,1,1,1,5
25,25,100,20,100,100,3,25,100,2,500,25,55.75,5,2,0,22,0,1,0,1,0,1,1,4
20,30,75,30,100,75,50,25,75,20,500,25,63.75,3,2,0,21,0,0,0,1,1,1,0,3
20,20,80,60,75,75,40,25,70,35,500,20,62.5,3,1,0,22,0,1,0,1,1,1,0,4
85,50,75,50,75,50,50,65,0,0,500,67.5,56.25,10,2,1,21,0,1,0,1,0,1,1,4
90,90,75,50,80,30,0,75,10,0,500,90,40,11,1,1,20,1,1,1,1,1,1,1,6
60,45,80,80,100,50,50,0,30,5,500,52.5,70,7,3,1,19,1,0,0,1,0,1,1,3
40,70,60,60,60,40,60,40,60,10,500,55,55,8,5,1,20,1,1,0,1,0,1,1,4
15,15,80,70,80,40,80,15,90,15,500,15,67.5,4,1,0,21,1,1,1,0,1,1,1,5
20,30,70,80,70,30,70,30,60,40,500,25,62.5,5,2,0,21,0,1,0,0,0,1,1,3
90,50,70,50,40,30,30,50,50,40,500,70,37.5,7,2,1,22,0,1,0,1,1,0,0,3
30,30,70,70,50,80,70,15,70,15,500,30,67.5,3,1,0,22,0,1,1,1,1,0,1,5
33,32,70,70,80,60,32,23,100,0,500,32.5,60.5,1,3,0,22,0,1,0,1,0,1,1,4
30,30,100,80,100,100,25,20,10,5,500,30,76.25,5,3,0,22,0,1,0,1,0,0,1,3
30,30,100,80,80,40,40,40,50,10,500,30,60,10,3,0,23,1,1,1,1,1,1,1,6
65,60,55,60,70,70,35,30,25,30,500,62.5,58.75,10,3,1,26,1,1,1,1,1,1,1,6
99,99,70,50,2,75,0,30,75,0,500,99,31.75,99,5,1,20,0,0,0,0,1,0,0,1
75,75,90,75,50,50,25,30,25,5,500,75,50,7,2,1,20,1,0,0,1,0,1,1,3
75,80,80,70,30,60,10,50,20,25,500,77.5,42.5,7,4,1,22,1,1,1,1,1,1,1,6
70,70,30,70,60,50,30,60,30,30,500,70,52.5,50,5,1,20,0,1,0,0,0,0,0,1
20,40,60,80,80,20,70,50,40,40,500,30,62.5,4,3,1,21,1,1,1,1,1,1,1,6
50,50,50,50,50,50,50,50,50,50,500,50,50,1,2,1,22,1,0,1,1,0,0,0,2
100,100,0,50,50,50,10,50,45,45,500,100,40,6,2,0,21,0,1,1,1,1,1,1,6
75,75,75,75,100,0,50,0,50,0,500,75,56.25,2,4,0,21,0,1,0,0,1,1,1,4
80,80,55,60,40,40,30,70,45,0,500,80,42.5,50,2,1,22,0,1,1,0,1,1,1,5
65,75,90,70,60,20,20,30,60,10,500,70,42.5,1,2,1,21,1,1,1,1,1,1,1,6
75,75,75,30,50,75,40,5,75,0,500,75,48.75,2,3,1,21,0,1,1,1,1,1,1,6
50,50,60,65,75,75,10,45,60,10,500,50,56.25,10,3,1,21,0,1,1,1,1,0,1,5
60,55,60,60,30,55,20,60,35,65,500,57.5,41.25,7,2,0,20,0,1,1,1,1,0,1,5
50,50,60,50,50,50,50,50,40,50,500,50,50,4,2,0,19,0,1,1,1,1,1,1,6
25,50,90,65,40,40,15,25,100,50,500,37.5,40,3,3,0,20,0,1,1,1,1,1,1,6
50,60,50,60,30,60,35,50,70,35,500,55,46.25,5,3,0,20,0,1,1,1,1,0,1,5
70,60,80,100,40,50,10,10,40,40,500,65,50,5,5,1,21,0,1,1,1,1,1,1,6
80,80,40,100,40,60,20,20,60,0,500,80,55,8,1,1,20,0,1,1,1,1,1,1,6
40,80,60,70,60,70,40,20,50,10,500,60,60,15,2,1,20,0,1,1,1,1,1,1,6
55,65,70,80,40,10,50,40,60,30,500,60,45,25,2,1,21,0,1,1,1,1,1,1,6
70,70,20,80,50,70,20,50,20,50,500,70,55,25,1,0,22,1,1,1,1,1,1,1,6
40,40,50,80,60,60,10,40,70,50,500,40,52.5,9,1,0,22,0,1,1,1,1,1,1,6
50,45,10,90,35,70,5,80,80,35,500,47.5,50,25,2,0,21,1,1,1,1,1,1,1,6
90,90,60,50,50,40,30,40,50,0,500,90,42.5,10,3,1,20,1,1,0,1,0,1,1,4
75,75,50,50,50,50,50,50,50,0,500,75,50,10,5,1,19,0,1,0,0,0,1,0,2
70,80,70,60,60,50,30,50,30,0,500,75,50,30,3,1,19,0,1,1,1,1,1,1,6
90,90,70,30,35,70,10,70,35,0,500,90,36.25,37,3,1,19,0,1,1,1,1,1,1,6
25,25,100,100,0,100,0,75,50,25,500,25,50,1,2,0,22,0,0,0,0,0,0,0,0
0,0,100,100,50,100,0,100,50,0,500,0,62.5,7,1,0,21,0,0,0,0,0,0,0,0
60,50,75,75,30,75,30,30,75,0,500,55,52.5,17,1,1,22,0,1,1,1,1,1,1,6
45,50,90,55,90,50,30,30,40,20,500,47.5,56.25,1,3,0,29,1,0,0,1,0,0,1,2
30,30,64,55,54,63,50,49,50,55,500,30,55.5,6,4,0,21,0,0,1,0,1,1,1,4
40,30,70,70,70,40,40,50,20,70,500,35,55,7,4,0,21,0,0,1,1,1,1,1,5
10,10,10,100,70,100,30,20,50,100,500,10,75,10,1,0,21,1,0,0,0,0,1,0,1
30,50,50,70,70,50,40,30,50,60,500,40,57.5,5,3,0,21,1,0,1,0,1,1,1,4
20,60,60,90,100,50,30,20,20,50,500,40,67.5,15,1,0,20,0,1,0,1,1,1,1,5
40,45,55,95,90,60,40,10,45,20,500,42.5,71.25,5,3,0,21,0,1,0,1,1,1,1,5
35,40,60,90,95,65,45,40,0,30,500,37.5,73.75,4,4,0,21,1,1,1,1,0,1,0,4
30,35,70,85,50,45,20,55,100,10,500,32.5,50,8,4,0,20,1,1,0,0,1,1,1,4
30,30,0,100,100,80,10,90,60,0,500,30,72.5,12,2,0,20,1,0,1,1,1,0,1,4
50,50,50,70,90,70,10,70,30,10,500,50,60,7,3,1,23,1,1,1,1,1,0,1,5
80,15,60,60,70,50,50,50,50,15,500,47.5,57.5,10,2,1,20,1,1,1,1,1,1,1,6
100,100,40,80,50,50,20,20,20,20,500,100,50,13,3,1,22,0,1,0,1,0,1,1,4
70,70,50,60,50,70,15,100,15,0,500,70,48.75,20,2,1,22,1,1,1,1,1,1,1,6
25,100,50,50,25,100,45,25,55,25,500,62.5,55,20,2,1,22,0,0,0,0,0,0,0,0
80,80,60,40,50,50,50,50,30,10,500,80,47.5,20,2,1,22,0,1,1,1,1,1,1,6
80,80,50,50,50,40,20,80,40,10,500,80,40,20,2,1,19,0,0,1,1,1,1,0,4
90,70,60,40,30,50,30,90,30,10,500,80,37.5,25,3,1,20,0,1,1,0,1,1,1,5
70,70,30,70,50,60,30,70,20,30,500,70,52.5,35,4,1,20,0,1,1,1,1,1,1,6
30,40,60,60,70,70,50,20,60,40,500,35,62.5,3,1,0,20,0,1,1,1,1,1,1,6
70,60,40,55,65,45,65,60,30,10,500,65,57.5,20,3,1,22,0,1,1,1,1,1,1,6
50,50,20,100,20,100,20,40,90,10,500,50,60,10,4,0,22,1,1,1,1,1,1,0,5
30,50,60,60,30,70,30,30,80,60,500,40,47.5,50,2,0,21,0,1,1,1,1,1,1,6
0,60,80,75,60,20,0,65,80,60,500,30,38.75,12,2,0,21,0,0,1,1,1,1,1,5
30,60,50,50,60,60,60,50,50,30,500,45,57.5,5,2,0,22,1,1,1,1,1,1,1,6
10,10,100,80,80,80,10,10,70,50,500,10,62.5,2,3,0,22,1,1,1,1,1,1,1,6
40,60,50,40,60,40,50,50,50,60,500,50,47.5,3,4,0,21,1,0,1,1,0,1,1,4
60,65,60,65,50,40,40,50,40,30,500,62.5,48.75,15,2,1,21,1,1,1,1,1,1,1,6
90,90,90,90,50,0,10,70,10,0,500,90,37.5,1000,3,1,20,0,1,1,1,1,1,1,6
80,80,20,60,60,20,20,50,60,50,500,80,40,10,3,1,20,0,1,0,1,0,1,1,4
